iter	Passed	Remaining
0	144	72292
1	153	38181
2	160	26669
3	170	21141
4	178	17642
5	186	15365
6	195	13764
7	204	12580
8	212	11599
9	221	10858
10	229	10192
11	238	9694
12	246	9239
13	255	8857
14	262	8496
15	270	8195
16	278	7923
17	287	7704
18	296	7494
19	304	7306
20	312	7125
21	320	6974
22	330	6854
23	338	6707
24	348	6619
25	356	6503
26	365	6398
27	373	6291
28	382	6204
29	390	6111
30	398	6033
31	406	5951
32	415	5884
33	423	5804
34	432	5740
35	439	5669
36	448	5615
37	457	5556
38	465	5507
39	474	5459
40	482	5404
41	492	5367
42	500	5317
43	508	5272
44	516	5224
45	524	5181
46	532	5133
47	541	5094
48	552	5083
49	561	5052
50	569	5013
51	578	4987
52	588	4965
53	598	4942
54	607	4919
55	615	4878
56	623	4849
57	631	4813
58	641	4791
59	649	4766
60	659	4745
61	668	4720
62	677	4696
63	685	4671
64	694	4650
65	704	4632
66	712	4607
67	722	4586
68	730	4561
69	740	4547
70	748	4524
71	757	4502
72	765	4477
73	773	4453
74	781	4427
75	789	4404
76	797	4381
77	806	4361
78	814	4338
79	822	4318
80	830	4295
81	838	4275
82	846	4252
83	855	4237
84	865	4225
85	877	4225
86	887	4211
87	895	4194
88	906	4185
89	915	4170
90	924	4155
91	934	4144
92	943	4128
93	953	4116
94	962	4103
95	973	4097
96	982	4083
97	990	4063
98	1000	4050
99	1008	4033
100	1018	4024
101	1030	4020
102	1039	4006
103	1049	3994
104	1057	3979
105	1067	3968
106	1075	3950
107	1084	3935
108	1092	3918
109	1100	3901
110	1108	3885
111	1117	3872
112	1127	3860
113	1135	3843
114	1142	3826
115	1151	3812
116	1161	3801
117	1170	3788
118	1180	3778
119	1189	3765
120	1197	3751
121	1205	3735
122	1214	3722
123	1222	3706
124	1230	3691
125	1238	3675
126	1246	3661
127	1254	3646
128	1263	3634
129	1272	3620
130	1280	3607
131	1288	3592
132	1297	3580
133	1305	3565
134	1314	3553
135	1322	3538
136	1330	3524
137	1335	3503
138	1343	3490
139	1351	3476
140	1360	3463
141	1368	3449
142	1377	3439
143	1386	3427
144	1394	3414
145	1402	3399
146	1411	3388
147	1418	3374
148	1427	3363
149	1435	3350
150	1444	3338
151	1453	3326
152	1461	3315
153	1470	3303
154	1478	3291
155	1488	3281
156	1496	3269
157	1505	3258
158	1512	3244
159	1521	3232
160	1528	3219
161	1537	3207
162	1544	3194
163	1553	3182
164	1560	3168
165	1569	3157
166	1577	3145
167	1587	3137
168	1595	3124
169	1603	3113
170	1611	3101
171	1620	3089
172	1627	3076
173	1635	3064
174	1643	3052
175	1651	3041
176	1657	3025
177	1666	3014
178	1673	3001
179	1682	2990
180	1687	2974
181	1696	2963
182	1701	2947
183	1709	2935
184	1717	2924
185	1725	2913
186	1734	2902
187	1742	2891
188	1750	2880
189	1757	2868
190	1765	2856
191	1773	2844
192	1782	2834
193	1790	2824
194	1800	2816
195	1808	2804
196	1817	2795
197	1825	2784
198	1834	2774
199	1842	2763
200	1851	2753
201	1860	2744
202	1870	2736
203	1878	2725
204	1886	2714
205	1895	2704
206	1902	2693
207	1911	2684
208	1919	2672
209	1928	2662
210	1935	2651
211	1944	2640
212	1951	2629
213	1959	2619
214	1967	2607
215	1976	2599
216	1984	2587
217	1992	2577
218	1999	2566
219	2010	2558
220	2018	2547
221	2027	2538
222	2035	2528
223	2044	2518
224	2052	2508
225	2060	2498
226	2069	2488
227	2077	2478
228	2086	2468
229	2095	2459
230	2102	2448
231	2112	2440
232	2120	2429
233	2128	2419
234	2136	2409
235	2145	2400
236	2153	2389
237	2161	2379
238	2168	2368
239	2178	2359
240	2187	2350
241	2196	2341
242	2205	2332
243	2213	2322
244	2221	2312
245	2229	2301
246	2237	2292
247	2245	2281
248	2253	2271
249	2261	2261
250	2269	2251
251	2277	2241
252	2286	2232
253	2294	2221
254	2302	2212
255	2310	2202
256	2318	2192
257	2326	2182
258	2335	2172
259	2342	2162
260	2351	2153
261	2359	2143
262	2367	2133
263	2375	2123
264	2383	2113
265	2389	2101
266	2396	2091
267	2404	2081
268	2412	2071
269	2420	2061
270	2427	2051
271	2436	2042
