iter	Passed	Remaining
0	10	3248
1	18	2822
2	28	2812
3	37	2772
4	45	2695
5	53	2645
6	62	2602
7	71	2605
8	79	2573
9	90	2621
10	97	2556
11	109	2621
12	119	2638
13	127	2605
14	139	2656
15	147	2614
16	158	2635
17	167	2621
18	175	2601
19	185	2591
20	192	2559
21	202	2564
22	209	2528
23	218	2516
24	226	2496
25	238	2518
26	247	2506
27	257	2497
28	267	2497
29	274	2472
30	285	2476
31	291	2443
32	302	2451
33	310	2431
34	321	2437
35	334	2450
36	341	2429
37	352	2429
38	359	2405
39	369	2401
40	376	2376
41	386	2372
42	393	2352
43	402	2340
44	410	2326
45	419	2315
46	427	2303
47	436	2289
48	444	2275
49	452	2261
50	461	2251
51	469	2238
52	480	2238
53	487	2221
54	497	2216
55	504	2197
56	514	2192
57	520	2173
58	530	2168
59	537	2150
60	547	2145
61	554	2129
62	564	2123
63	571	2108
64	581	2101
65	589	2089
66	598	2081
67	606	2069
68	614	2057
69	622	2044
70	630	2034
71	638	2021
72	646	2011
73	656	2003
74	664	1992
75	672	1983
76	680	1972
77	689	1963
78	698	1954
79	707	1945
80	715	1935
81	725	1928
82	733	1916
83	742	1910
84	750	1897
85	759	1890
86	767	1878
87	777	1873
88	786	1863
89	794	1854
90	803	1844
91	811	1833
92	819	1823
93	828	1814
94	837	1806
95	844	1794
96	853	1786
97	861	1775
98	871	1770
99	879	1758
100	888	1751
101	896	1740
102	906	1733
103	913	1720
104	922	1713
105	929	1701
106	939	1694
107	946	1682
108	956	1675
109	966	1669
110	975	1661
111	986	1655
112	993	1644
113	1005	1640
114	1014	1631
115	1023	1623
116	1031	1612
117	1039	1603
118	1047	1593
119	1056	1584
120	1064	1574
121	1072	1564
122	1080	1555
123	1089	1546
124	1097	1536
125	1105	1526
126	1116	1520
127	1126	1513
128	1137	1507
129	1145	1498
130	1154	1488
131	1166	1485
132	1176	1476
133	1187	1471
134	1229	1503
135	1245	1501
136	1256	1495
137	1267	1488
138	1281	1484
139	1291	1475
140	1302	1468
141	1314	1463
142	1358	1491
143	1398	1515
144	1413	1511
145	1421	1499
146	1432	1490
147	1440	1478
148	1449	1468
149	1457	1457
150	1465	1446
151	1475	1436
152	1483	1425
153	1493	1415
154	1500	1404
155	1511	1395
156	1518	1383
157	1528	1373
158	1536	1362
159	1546	1352
160	1553	1341
161	1562	1331
162	1569	1319
163	1579	1309
164	1586	1297
165	1595	1287
166	1602	1276
167	1611	1266
168	1618	1254
169	1627	1244
170	1634	1233
171	1643	1223
172	1650	1211
173	1660	1202
174	1671	1194
175	1680	1184
176	1692	1176
177	1701	1165
178	1711	1156
179	1721	1147
180	1730	1137
181	1742	1129
182	1750	1119
183	1759	1109
184	1768	1099
185	1776	1088
186	1787	1080
187	1794	1069
188	1804	1059
189	1812	1049
190	1823	1040
191	1831	1030
192	1840	1020
193	1847	1009
194	1854	998
195	1860	987
196	1866	976
197	1873	964
198	1879	954
199	1887	943
200	1893	932
201	1903	923
202	1911	913
203	1921	904
204	1930	894
205	1939	884
206	1948	875
207	1956	865
208	1965	855
209	1973	845
210	1982	836
211	1990	826
212	1999	816
213	2006	806
214	2017	797
215	2024	787
216	2033	777
217	2041	767
218	2050	758
219	2056	747
220	2065	738
221	2072	728
222	2080	718
223	2087	708
224	2096	698
225	2104	688
226	2113	679
227	2120	669
228	2129	660
229	2137	650
230	2147	641
231	2154	631
232	2165	622
233	2173	612
234	2182	603
235	2189	593
236	2199	584
237	2208	575
238	2216	565
239	2226	556
240	2234	546
241	2243	537
242	2250	527
243	2259	518
244	2266	508
245	2274	499
246	2281	489
247	2288	479
248	2296	470
249	2302	460
250	2310	451
251	2317	441
252	2329	432
253	2336	423
254	2344	413
255	2351	404
256	2359	394
257	2366	385
258	2374	375
259	2381	366
260	2389	357
261	2396	347
262	2404	338
263	2412	329
264	2421	319
265	2428	310
266	2436	301
267	2444	291
268	2451	282
269	2459	273
270	2466	263
271	2475	254
272	2481	245
273	2490	236
274	2498	227
275	2510	218
276	2519	209
277	2528	200
278	2540	191
279	2547	181
280	2556	172
281	2564	163
282	2574	154
283	2583	145
284	2592	136
285	2601	127
286	2612	118
287	2621	109
288	2629	100
289	2638	90
290	2646	81
291	2656	72
292	2663	63
293	2671	54
294	2678	45
295	2688	36
296	2696	27
297	2706	18
298	2716	9
299	2724	0
